Link,Country,Capital,Status

https://en.wikipedia.org/wiki/Algeria,Algeria,Algiers,
https://en.wikipedia.org/wiki/Angola,Angola,Luanda,
https://en.wikipedia.org/wiki/Benin,Benin,"Porto-Novo (official)
Cotonou (seat of government)",
https://en.wikipedia.org/wiki/Botswana,Botswana,Gaborone,
https://en.wikipedia.org/wiki/Burkina_Faso,Burkina Faso,Ouagadougou,
https://en.wikipedia.org/wiki/Burundi,Burundi,Bujumbura,
https://en.wikipedia.org/wiki/Cameroon,Cameroon,Yaoundé,
https://en.wikipedia.org/wiki/Cape_Verde,Cape Verde,Praia,
https://en.wikipedia.org/wiki/Central_African_Republic,Central African Republic,Bangui,
https://en.wikipedia.org/wiki/Chad,Chad,N'Djamena,
https://en.wikipedia.org/wiki/Comoros,Comoros,Moroni,
https://en.wikipedia.org/wiki/Republic_of_the_Congo,Congo (Congo-Brazzaville),Brazzaville,
https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,Democratic Republic of the Congo (Congo-Kinshasa),Kinshasa,
https://en.wikipedia.org/wiki/Djibouti,Djibouti,Djibouti City,
https://en.wikipedia.org/wiki/Egypt,Egypt,Cairo,
https://en.wikipedia.org/wiki/Equatorial_Guinea,Equatorial Guinea,Malabo,
https://en.wikipedia.org/wiki/Eritrea,Eritrea,Asmara,
https://en.wikipedia.org/wiki/Ethiopia,Ethiopia,Addis Ababa,
https://en.wikipedia.org/wiki/Gabon,Gabon,Libreville,
https://en.wikipedia.org/wiki/The_Gambia,Gambia,Banjul,
https://en.wikipedia.org/wiki/Ghana,Ghana,Accra,
https://en.wikipedia.org/wiki/Guinea,Guinea,Conakry,
https://en.wikipedia.org/wiki/Guinea-Bissau,Guinea-Bissau,Bissau,
https://en.wikipedia.org/wiki/Ivory_Coast,Ivory Coast (Côte d'Ivoire),"Yamoussoukro (official)
Abidjan (seat of government)",
https://en.wikipedia.org/wiki/Kenya,Kenya,Nairobi,
https://en.wikipedia.org/wiki/Lesotho,Lesotho,Maseru,
https://en.wikipedia.org/wiki/Liberia,Liberia,Monrovia,
https://en.wikipedia.org/wiki/Libya,Libya,Tripoli,
https://en.wikipedia.org/wiki/Madagascar,Madagascar,Antananarivo,
https://en.wikipedia.org/wiki/Malawi,Malawi,Lilongwe,
https://en.wikipedia.org/wiki/Mali,Mali,Bamako,
https://en.wikipedia.org/wiki/Mauritania,Mauritania,Nouakchott,
https://en.wikipedia.org/wiki/Mauritius,Mauritius,Port Louis,
https://en.wikipedia.org/wiki/Mayotte,Mayotte,Mamoudzou,Overseas department of France
https://en.wikipedia.org/wiki/Morocco,Morocco,Rabat,
https://en.wikipedia.org/wiki/Mozambique,Mozambique,Maputo,
https://en.wikipedia.org/wiki/Namibia,Namibia,Windhoek,
https://en.wikipedia.org/wiki/Niger,Niger,Niamey,
https://en.wikipedia.org/wiki/Nigeria,Nigeria,Abuja,
https://en.wikipedia.org/wiki/R%C3%A9union,Réunion,Saint-Denis,Overseas department of France
https://en.wikipedia.org/wiki/Rwanda,Rwanda,Kigali,
https://en.wikipedia.org/wiki/Sahrawi_Arab_Democratic_Republic,Sahrawi Arab Democratic Republic,"El Aaiún (official)
Tifariti (factual temporary, seat of government) and Sahrawi refugee camps (some government and military facilities)","De facto sovereign state lacking general international recognition.
It claims the territory of Western Sahara, most of which is controlled by Morocco."
"https://en.wikipedia.org/wiki/Saint_Helena,_Ascension_and_Tristan_da_Cunha","Saint Helena, Ascension and Tristan da Cunha","Jamestown (Saint Helena)
Georgetown (Ascension Island)
Edinburgh of the Seven Seas (Tristan da Cunha)",Overseas territory of the United Kingdom
https://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe,São Tomé and Príncipe,São Tomé,
https://en.wikipedia.org/wiki/Senegal,Senegal,Dakar,
https://en.wikipedia.org/wiki/Seychelles,Seychelles,Victoria,
https://en.wikipedia.org/wiki/Sierra_Leone,Sierra Leone,Freetown,
https://en.wikipedia.org/wiki/Somalia,Somalia,Mogadishu,
https://en.wikipedia.org/wiki/Somaliland,Somaliland,Hargeisa,"De facto sovereign state lacking general international recognition
Recognized by the United Nations as part of Somalia"
https://en.wikipedia.org/wiki/South_Africa,South Africa,"Pretoria (administrative/executive)
Cape Town (legislative)
Bloemfontein (judicial)",
https://en.wikipedia.org/wiki/South_Sudan,South Sudan,Juba,
https://en.wikipedia.org/wiki/Sudan,Sudan,Khartoum,
https://en.wikipedia.org/wiki/Swaziland,Swaziland,"Mbabane (administrative)
Lobamba (royal and legislative)",
https://en.wikipedia.org/wiki/Tanzania,Tanzania,"Dodoma (official)
Dar es Salaam (seat of government)",
https://en.wikipedia.org/wiki/Togo,Togo,Lomé,
https://en.wikipedia.org/wiki/Tunisia,Tunisia,Tunis,
https://en.wikipedia.org/wiki/Uganda,Uganda,Kampala,
https://en.wikipedia.org/wiki/Zambia,Zambia,Lusaka,
https://en.wikipedia.org/wiki/Zimbabwe,Zimbabwe,Harare,
